input,output
Allee,Aly
Alley,Aly
Ally,Aly
Aly,Aly
Anex,Anx
Annex,Anx
Annx,Anx
Anx,Anx
Arc,Arc
Arcade,Arc
Av,Ave
Ave,Ave
Aven,Ave
Avenu,Ave
Avenue,Ave
Avn,Ave
Avnue,Ave
Bch,Bch
Beach,Bch
Burg,Bg
Burgs,Bgs
Blf,Blf
Bluf,Blf
Bluff,Blf
Bluffs,Blfs
Blvd,Blvd
Boul,Blvd
Boulevard,Blvd
Boulv,Blvd
Bend,Bnd
Bnd,Bnd
Br,Br
Brnch,Br
Branch,Br
Brdge,Brg
Brg,Brg
Bridge,Brg
Brk,Brk
Brook,Brk
Brooks,Brks
Bot,Btm
Btm,Btm
Bottm,Btm
Bottom,Btm
Byp,Byp
Bypa,Byp
Bypas,Byp
Bypass,Byp
Byps,Byp
Bayoo,Byu
Bayou,Byu
Cir,Cir
Circ,Cir
Circl,Cir
Circle,Cir
Crcl,Cir
Crcle,Cir
Circles,Cirs
Clb,Clb
Club,Clb
Clf,Clf
Cliff,Clf
Clfs,Clfs
Cliffs,Clfs
Common,Cmn
Commons,Cmns
Cor,Cor
Corner,Cor
Corners,Cors
Cors,Cors
Camp,Cp
Cp,Cp
Cmp,Cp
Cape,Cpe
Cpe,Cpe
Crescent,Cres
Cres,Cres
Crsent,Cres
Crsnt,Cres
Creek,Crk
Crk,Crk
Course,Crse
Crse,Crse
Crest,Crst
Causeway,Cswy
Causwa,Cswy
Cswy,Cswy
Court,Ct
Ct,Ct
Cen,Ctr
Cent,Ctr
Center,Ctr
Centr,Ctr
Centre,Ctr
Cnter,Ctr
Cntr,Ctr
Ctr,Ctr
Centers,Ctrs
Courts,Cts
Cts,Cts
Curve,Curv
Cove,Cv
Cv,Cv
Coves,Cvs
Canyn,Cyn
Canyon,Cyn
Cnyn,Cyn
Dale,Dl
Dl,Dl
Dam,Dm
Dm,Dm
Dr,Dr
Driv,Dr
Drive,Dr
Drv,Dr
Drives,Drs
Div,Dv
Divide,Dv
Dv,Dv
Dvd,Dv
Est,Est
Estate,Est
Estates,Ests
Ests,Ests
Exp,Expy
Expr,Expy
Express,Expy
Expressway,Expy
Expw,Expy
Expy,Expy
Ext,Ext
Extension,Ext
Extn,Ext
Extnsn,Ext
Exts,Exts
Fall,Fall
Field,Fld
Fld,Fld
Fields,Flds
Flds,Flds
Falls,Fls
Fls,Fls
Flat,Flt
Flt,Flt
Flats,Flts
Flts,Flts
Ford,Frd
Frd,Frd
Fords,Frds
Forg,Frg
Forge,Frg
Frg,Frg
Forges,Frgs
Fork,Frk
Frk,Frk
Forks,Frks
Frks,Frks
Forest,Frst
Forests,Frst
Frst,Frst
Ferry,Fry
Frry,Fry
Fry,Fry
Fort,Ft
Frt,Ft
Ft,Ft
Freeway,Fwy
Freewy,Fwy
Frway,Fwy
Frwy,Fwy
Fwy,Fwy
Garden,Gdn
Gardn,Gdn
Grden,Gdn
Grdn,Gdn
Gardens,Gdns
Gdns,Gdns
Grdns,Gdns
Glen,Gln
Gln,Gln
Glens,Glns
Green,Grn
Grn,Grn
Greens,Grns
Grov,Grv
Grove,Grv
Grv,Grv
Groves,Grvs
Gateway,Gtwy
Gatewy,Gtwy
Gatway,Gtwy
Gtway,Gtwy
Gtwy,Gtwy
Harb,Hbr
Harbor,Hbr
Harbr,Hbr
Hbr,Hbr
Hrbor,Hbr
Harbors,Hbrs
Hill,Hl
Hl,Hl
Hills,Hls
Hls,Hls
Hllw,Holw
Hollow,Holw
Hollows,Holw
Holw,Holw
Holws,Holw
Ht,Hts
Hts,Hts
Haven,Hvn
Hvn,Hvn
Highway,Hwy
Highwy,Hwy
Hiway,Hwy
Hiwy,Hwy
Hway,Hwy
Hwy,Hwy
Inlt,Inlt
Is,Is
Island,Is
Islnd,Is
Isle,Isle
Isles,Isle
Islands,Iss
Islnds,Iss
Iss,Iss
Jct,Jct
Jction,Jct
Jctn,Jct
Junction,Jct
Junctn,Jct
Juncton,Jct
Jctns,Jcts
Jcts,Jcts
Junctions,Jcts
Knl,Knl
Knol,Knl
Knoll,Knl
Knls,Knls
Knolls,Knls
Key,Ky
Ky,Ky
Keys,Kys
Kys,Kys
Land,Land
Lck,Lck
Lock,Lck
Lcks,Lcks
Locks,Lcks
Ldg,Ldg
Ldge,Ldg
Lodg,Ldg
Lodge,Ldg
Lf,Lf
Loaf,Lf
Lgt,Lgt
Light,Lgt
Lights,Lgts
Lk,Lk
Lake,Lk
Lks,Lks
Lakes,Lks
Lane,Ln
Ln,Ln
Landing,Lndg
Lndg,Lndg
Lndng,Lndg
Loop,Loop
Loops,Loop
Mall,Mall
Meadow,Mdw
Mdw,Mdws
Mdws,Mdws
Meadows,Mdws
Medows,Mdws
Mews,Mews
Mill,Ml
Mills,Mls
Mnr,Mnr
Manor,Mnr
Manors,Mnrs
Mnrs,Mnrs
Missn,Msn
Mssn,Msn
Mnt,Mt
Mt,Mt
Mount,Mt
Mntain,Mtn
Mntn,Mtn
Mountain,Mtn
Mountin,Mtn
Mtin,Mtn
Mtn,Mtn
Mntns,Mtns
Mountains,Mtns
Motorway,Mtwy
Nck,Nck
Neck,Nck
Overpass,Opas
Orch,Orch
Orchard,Orch
Orchrd,Orch
Oval,Oval
Ovl,Oval
Park,Park
Prk,Park
Parks,Park
Pass,Pass
Path,Path
Paths,Path
Pike,Pike
Pikes,Pike
Parkway,Pkwy
Parkwy,Pkwy
Pkway,Pkwy
Pkwy,Pkwy
Pky,Pkwy
Parkways,Pkwy
Pkwys,Pkwy
Pl,Pl
Plain,Pln
Pln,Pln
Plains,Plns
Plns,Plns
Plaza,Plz
Plz,Plz
Plza,Plz
Pine,Pne
Pines,Pnes
Pnes,Pnes
Pr,Pr
Prairie,Pr
Prr,Pr
Port,Prt
Prt,Prt
Ports,Prts
Prts,Prts
Passage,Psge
Point,Pt
Pt,Pt
Points,Pts
Pts,Pts
Rad,Radl
Radial,Radl
Radiel,Radl
Radl,Radl
Ramp,Ramp
Rd,Rd
Road,Rd
Rdg,Rdg
Rdge,Rdg
Ridge,Rdg
Rdgs,Rdgs
Ridges,Rdgs
Roads,Rds
Rds,Rds
Riv,Riv
River,Riv
Rvr,Riv
Rivr,Riv
Ranch,Rnch
Ranches,Rnch
Rnch,Rnch
Rnchs,Rnch
Row,Row
Rapid,Rpd
Rpd,Rpd
Rapids,Rpds
Rpds,Rpds
Rest,Rst
Rst,Rst
Route,Rte
Rue,Rue
Run,Run
Shl,Shl
Shoal,Shl
Shls,Shls
Shoals,Shls
Shoar,Shr
Shore,Shr
Shr,Shr
Shoars,Shrs
Shores,Shrs
Shrs,Shrs
Skyway,Skwy
Smt,Smt
Sumit,Smt
Sumitt,Smt
Summit,Smt
Spg,Spg
Spng,Spg
Spring,Spg
Sprng,Spg
Spgs,Spgs
Spngs,Spgs
Springs,Spgs
Sprngs,Spgs
Spur,Spur
Spurs,Spur
Sq,Sq
Sqr,Sq
Sqre,Sq
Squ,Sq
Square,Sq
Sqrs,Sqs
Squares,Sqs
Street,St
Strt,St
St,St
Str,St
Sta,Sta
Station,Sta
Statn,Sta
Stn,Sta
Stra,Stra
Strav,Stra
Straven,Stra
Stravenue,Stra
Stravn,Stra
Strvn,Stra
Strvnue,Stra
Stream,Strm
Streme,Strm
Strm,Strm
Streets,Sts
Ter,Ter
Terr,Ter
Terrace,Ter
Trnpk,Tpke
Turnpike,Tpke
Turnpk,Tpke
Track,Trak
Tracks,Trak
Trak,Trak
Trk,Trak
Trks,Trak
Trace,Trce
Traces,Trce
Trce,Trce
Trafficway,Trfy
Trail,Trl
Trails,Trl
Trl,Trl
Trls,Trl
Trailer,Trlr
Trlr,Trlr
Trlrs,Trlr
Throughway,Trwy
Tunel,Tunl
Tunl,Tunl
Tunls,Tunl
Tunnel,Tunl
Tunnels,Tunl
Tunnl,Tunl
Un,Un
Union,Un
Unions,Uns
Underpass,Upas
Vdct,Via
Via,Via
Viadct,Via
Viaduct,Via
Vis,Vis
Vist,Vis
Vista,Vis
Vst,Vis
Vsta,Vis
Ville,Vl
Vl,Vl
Vill,Vlg
Villag,Vlg
Village,Vlg
Villg,Vlg
Villiage,Vlg
Vlg,Vlg
Villages,Vlgs
Vlgs,Vlgs
Valley,Vly
Vally,Vly
Vlly,Vly
Vly,Vly
Valleys,Vlys
Vlys,Vlys
View,Vw
Vw,Vw
Views,Vws
Vws,Vws
Walk,Walk
Walks,Walk
Wall,Wall
Wy,Way
Way,Way
Ways,Ways
Well,Wl
Wells,Wls
Wls,Wls
Crossing,Xing
Crssng,Xing
Xing,Xing
Crossroad,Xrd
Crossroads,Xrds
